etudiant_id,niveau,filiere,moy_semestre_prec,note_cc1,note_cc2,note_cc3,taux_absence,nb_echecs_anterieurs,evolution_notes,participation,a_risque
ETU00737,L1,Gestion,9.05,14.21,14.36,12.64,28.2,3,-1.57,5.29,0
ETU00738,M1,Gestion,13.13,14.11,12.61,13.3,35.35,4,-0.82,6.03,1
ETU00739,L2,Gestion,11.54,17.66,15.82,16.2,35.68,1,-1.46,8.1,0
ETU00740,L1,Médecine,16.34,18.0,17.58,17.42,11.14,1,-0.58,4.13,0
ETU00741,M2,Ingénierie,12.36,13.34,12.51,14.45,25.65,0,1.11,8.89,0
ETU00742,M2,Médecine,12.51,10.83,9.95,9.4,39.96,4,-1.43,4.75,1
ETU00743,L2,Informatique,18.86,10.09,9.8,10.59,9.75,3,0.5,4.57,0
ETU00744,L3,Droit,7.95,16.47,16.51,18.04,18.92,1,1.58,6.56,0
ETU00745,L2,Informatique,16.8,14.02,14.95,13.03,36.41,4,-1.0,6.18,0
ETU00746,M2,Informatique,6.67,6.08,4.43,3.6,4.12,3,-2.48,0.11,0
ETU00747,M1,Informatique,12.21,6.99,6.17,6.55,37.13,2,-0.44,9.82,0
ETU00748,L3,Médecine,17.52,17.6,17.56,18.81,19.53,1,1.21,9.43,0
ETU00749,M2,Ingénierie,14.65,17.38,17.29,19.72,35.72,2,2.34,2.81,0
ETU00750,M1,Gestion,14.91,18.33,20.0,20.0,24.85,0,1.67,5.59,0
ETU00751,L1,Ingénierie,9.42,10.99,11.54,11.36,26.86,0,0.37,7.7,0
ETU00752,L3,Gestion,11.44,15.98,13.76,12.75,30.92,4,-3.23,9.2,1
ETU00753,M2,Gestion,10.77,16.6,17.42,18.22,2.69,1,1.62,5.86,0
ETU00754,L3,Informatique,12.78,9.42,10.44,10.29,25.11,0,0.87,0.19,0
ETU00755,L1,Informatique,12.01,7.03,7.05,6.94,36.96,4,-0.1,6.81,1
ETU00756,M1,Médecine,10.25,18.96,17.34,17.5,38.24,4,-1.46,0.93,1
ETU00757,L3,Droit,9.97,5.42,8.26,9.39,38.73,4,3.96,6.71,1
ETU00758,L2,Informatique,9.26,13.36,11.96,11.41,25.83,0,-1.95,5.87,0
ETU00759,M2,Droit,10.75,14.1,15.29,14.44,25.33,4,0.33,6.41,0
ETU00760,M2,Gestion,7.95,14.55,15.05,15.99,22.1,1,1.45,1.89,0
ETU00761,L3,Gestion,17.34,8.58,9.68,5.44,24.3,0,-3.14,4.94,0
ETU00762,M1,Ingénierie,13.83,15.1,17.86,17.26,24.48,4,2.15,6.18,0
ETU00763,L2,Droit,7.74,8.03,9.07,7.65,1.7,1,-0.38,3.0,0
ETU00764,M1,Droit,15.02,16.61,15.97,18.07,3.55,3,1.47,1.82,0
ETU00765,M2,Médecine,17.02,8.07,9.93,9.57,24.78,0,1.5,2.23,0
ETU00766,L2,Ingénierie,9.09,14.75,14.01,13.47,12.57,0,-1.29,8.58,0
ETU00767,M2,Médecine,7.96,15.97,16.41,16.64,12.06,4,0.67,4.65,0
ETU00768,L1,Droit,6.11,7.65,5.91,5.31,7.74,2,-2.33,6.61,0
ETU00769,L3,Gestion,6.61,8.33,6.98,6.68,32.04,4,-1.65,5.15,1
ETU00770,L1,Informatique,15.91,15.91,16.18,16.63,38.57,0,0.72,8.34,0
ETU00771,L3,Informatique,18.83,6.2,6.96,6.62,25.11,4,0.42,5.08,0
ETU00772,M1,Médecine,6.58,7.67,5.32,4.97,37.82,4,-2.7,0.93,1
ETU00773,M2,Médecine,15.72,11.38,12.32,11.11,35.36,4,-0.27,1.98,0
ETU00774,L1,Gestion,6.93,18.02,16.99,15.56,8.72,0,-2.46,0.13,0
ETU00775,M2,Ingénierie,13.7,12.87,14.99,15.38,6.14,0,2.51,8.32,0
ETU00776,M2,Ingénierie,15.83,10.43,10.1,10.86,8.46,2,0.43,6.63,0
ETU00777,L1,Médecine,10.67,18.7,17.21,15.37,3.85,0,-3.33,7.59,0
ETU00778,M2,Gestion,6.14,11.49,11.81,13.25,23.32,0,1.75,7.15,0
ETU00779,M2,Droit,13.74,11.07,9.9,11.34,11.31,4,0.27,8.24,0
ETU00780,L1,Ingénierie,18.89,10.76,12.87,14.63,36.52,3,3.87,9.87,0
ETU00781,L1,Droit,9.35,9.37,9.57,10.32,24.54,4,0.95,6.53,0
ETU00782,M1,Droit,8.46,9.56,9.53,10.79,14.38,4,1.23,2.52,0
ETU00783,L3,Droit,7.61,14.63,15.72,19.29,39.39,0,4.67,1.01,1
ETU00784,L2,Ingénierie,13.22,5.57,4.26,4.11,38.13,4,-1.46,5.9,0
ETU00785,L3,Droit,13.75,14.55,12.81,11.54,31.14,0,-3.0,7.71,0
ETU00786,L2,Informatique,16.3,7.82,8.63,6.63,31.67,1,-1.19,5.62,0
ETU00787,M2,Droit,15.79,10.38,8.93,11.86,39.09,1,1.48,3.04,0
ETU00788,L2,Médecine,17.6,7.05,5.6,8.55,24.02,1,1.5,7.2,0
ETU00789,L1,Ingénierie,16.48,12.74,14.19,13.11,35.2,3,0.37,4.48,0
ETU00790,M2,Informatique,9.21,15.21,16.2,15.41,2.59,0,0.2,2.87,0
ETU00791,M2,Ingénierie,13.23,9.97,8.28,8.1,22.16,4,-1.87,8.41,0
ETU00792,M2,Ingénierie,9.87,7.29,6.56,8.7,20.1,4,1.41,5.77,0
ETU00793,M2,Médecine,10.29,8.17,7.02,5.38,1.51,3,-2.79,2.83,0
ETU00794,L1,Gestion,18.12,16.45,19.32,16.67,3.48,0,0.21,3.29,0
ETU00795,M1,Gestion,14.86,8.75,10.31,13.86,0.87,2,5.11,5.72,0
ETU00796,L2,Droit,18.67,15.85,15.41,16.18,11.76,3,0.34,4.23,0
ETU00797,L3,Informatique,11.42,9.64,10.7,11.68,2.14,1,2.05,1.61,0
ETU00798,L3,Médecine,12.99,7.64,5.81,5.8,16.93,1,-1.84,6.1,0
ETU00799,M2,Médecine,12.33,15.18,14.37,15.37,32.51,2,0.19,6.89,0
ETU00800,L3,Droit,7.39,11.56,11.92,9.95,24.55,4,-1.61,0.0,1
ETU00801,L2,Médecine,9.08,5.44,6.32,5.35,26.95,0,-0.08,5.37,0
ETU00802,L1,Médecine,12.86,18.44,18.49,18.95,1.26,2,0.51,5.77,0
ETU00803,L3,Ingénierie,6.88,7.07,7.64,4.53,33.58,1,-2.53,3.32,1
ETU00804,M2,Médecine,18.11,9.95,10.27,10.11,5.85,2,0.16,3.39,0
ETU00805,M1,Gestion,7.61,10.39,10.34,10.1,12.11,0,-0.29,3.18,0
ETU00806,M2,Informatique,8.57,11.85,11.61,11.45,20.67,4,-0.4,4.45,0
ETU00807,L1,Ingénierie,15.95,16.0,15.56,15.03,37.2,2,-0.97,8.12,1
ETU00808,L3,Médecine,7.26,5.09,5.63,4.44,39.93,4,-0.65,4.69,1
ETU00809,M1,Ingénierie,17.7,18.05,18.87,16.44,31.31,0,-1.62,9.94,0
ETU00810,M2,Droit,15.43,14.04,14.54,15.06,29.17,2,1.01,3.76,0
ETU00811,L2,Informatique,6.89,18.31,16.74,16.59,21.11,3,-1.72,6.99,0
ETU00812,M1,Droit,14.99,16.44,15.15,13.38,26.63,3,-3.06,5.49,0
ETU00813,L2,Médecine,14.21,17.99,18.79,19.18,5.78,0,1.19,7.62,0
ETU00814,L3,Gestion,15.85,13.41,15.82,15.68,10.77,3,2.27,8.88,0
ETU00815,M1,Droit,16.77,10.0,10.43,10.04,39.39,0,0.04,5.12,0
ETU00816,M2,Droit,15.34,11.2,10.78,7.85,39.18,2,-3.35,4.94,0
ETU00817,L3,Gestion,13.62,14.21,14.75,16.07,12.92,0,1.86,9.43,0
ETU00818,L3,Ingénierie,10.19,10.98,9.47,7.92,9.64,0,-3.05,9.34,0
ETU00819,M2,Droit,15.06,15.24,17.41,17.8,9.18,3,2.56,9.97,0
ETU00820,L3,Ingénierie,18.44,6.29,6.77,5.85,19.39,3,-0.43,1.56,0
ETU00821,L2,Informatique,13.64,16.62,15.82,15.53,8.95,4,-1.09,0.04,0
ETU00822,L2,Ingénierie,14.64,7.86,7.81,9.84,25.94,3,1.98,4.37,0
ETU00823,M1,Médecine,11.68,18.22,17.62,18.72,2.99,2,0.51,7.33,0
ETU00824,M1,Médecine,15.83,7.18,9.35,11.34,4.15,0,4.16,0.73,0
ETU00825,L3,Gestion,18.97,6.81,6.7,7.5,11.08,3,0.69,3.74,0
ETU00826,L1,Informatique,8.09,16.37,16.8,17.69,31.1,1,1.33,5.81,0
ETU00827,L1,Gestion,8.63,16.46,17.52,15.15,12.93,0,-1.31,2.13,0
ETU00828,L2,Droit,13.01,15.34,14.43,14.26,18.83,3,-1.09,7.31,0
ETU00829,L1,Gestion,12.26,18.45,18.94,18.9,26.26,2,0.45,2.3,0
ETU00830,L3,Informatique,13.43,8.79,9.4,11.53,31.54,0,2.75,8.41,0
ETU00831,L3,Informatique,6.64,16.57,14.44,13.98,12.28,2,-2.59,3.48,0
ETU00832,L2,Médecine,11.26,9.93,10.51,11.2,29.24,3,1.28,5.99,0
ETU00833,M2,Médecine,13.58,12.52,12.65,13.29,11.44,2,0.77,5.44,0
ETU00834,L2,Informatique,13.61,11.24,11.63,13.67,25.78,3,2.43,2.96,0
ETU00835,M2,Médecine,14.55,5.08,5.34,5.43,18.04,2,0.35,4.39,0
ETU00836,L1,Ingénierie,15.36,13.04,13.63,15.17,37.07,1,2.13,8.46,0
ETU00837,M1,Ingénierie,14.34,15.47,17.67,15.41,39.28,1,-0.05,5.48,0
ETU00838,M2,Informatique,16.27,7.44,5.87,3.75,30.96,1,-3.69,0.56,1
ETU00839,M2,Droit,14.12,18.04,17.73,14.6,36.62,4,-3.44,7.13,0
ETU00840,L3,Informatique,12.99,12.43,13.63,15.1,5.46,1,2.68,1.82,0
ETU00841,L2,Informatique,13.88,7.5,8.42,9.73,26.18,3,2.23,4.86,0
ETU00842,L2,Ingénierie,7.32,14.04,14.93,16.58,7.93,1,2.53,4.69,0
ETU00843,L3,Ingénierie,9.55,7.69,12.02,11.3,11.08,2,3.61,4.86,0
ETU00844,M2,Gestion,12.86,5.89,7.01,6.47,20.91,3,0.58,0.31,0
ETU00845,L2,Droit,17.35,14.59,16.49,16.61,29.68,2,2.01,2.72,0
ETU00846,M2,Informatique,14.83,6.55,6.29,8.75,28.86,3,2.2,0.51,0
ETU00847,M2,Ingénierie,7.18,6.49,5.2,8.04,34.78,4,1.55,4.15,1
ETU00848,L1,Droit,13.7,15.36,15.09,16.58,22.37,4,1.22,6.21,0
ETU00849,M2,Gestion,8.88,5.77,7.04,7.84,37.05,4,2.06,6.54,1
ETU00850,L3,Ingénierie,15.54,16.34,17.15,19.45,35.52,0,3.11,0.65,0
ETU00851,M1,Informatique,16.76,16.15,16.95,16.87,33.96,3,0.72,1.19,0
ETU00852,L2,Gestion,13.71,6.98,6.86,6.57,9.18,3,-0.41,6.62,0
ETU00853,L2,Médecine,13.69,12.26,11.9,12.0,21.26,2,-0.25,5.31,0
ETU00854,L3,Droit,10.4,6.35,6.28,5.11,29.45,1,-1.24,8.33,1
ETU00855,L1,Médecine,11.8,13.86,15.14,15.18,39.04,0,1.32,2.05,1
ETU00856,M1,Gestion,17.23,5.88,7.34,5.97,0.47,4,0.08,1.2,0
ETU00857,M1,Médecine,15.4,18.22,16.91,18.75,13.08,4,0.53,3.62,0
ETU00858,L1,Droit,12.76,7.91,9.25,10.37,13.69,0,2.46,6.37,0
ETU00859,L2,Informatique,10.79,14.56,13.78,16.23,11.54,2,1.67,4.86,0
ETU00860,L3,Gestion,6.65,6.8,7.7,5.56,32.7,2,-1.24,0.99,1
ETU00861,M1,Gestion,7.86,7.93,7.85,11.0,1.8,0,3.06,0.71,0
ETU00862,L2,Droit,8.51,11.31,13.86,11.8,14.38,2,0.49,6.78,0
ETU00863,M2,Droit,10.85,13.02,12.6,11.1,28.47,4,-1.92,2.97,1
ETU00864,L3,Droit,18.27,18.98,19.45,18.82,16.27,1,-0.16,6.69,0
ETU00865,L3,Informatique,12.57,5.36,6.47,8.73,5.76,3,3.37,2.95,0
ETU00866,L1,Ingénierie,9.05,5.0,3.89,4.53,24.43,4,-0.47,3.15,0
ETU00867,M1,Médecine,7.37,9.91,10.0,9.93,20.9,2,0.02,2.1,0
ETU00868,M2,Médecine,10.4,10.13,9.93,9.04,39.27,0,-1.09,9.84,1
ETU00869,L2,Gestion,16.6,17.37,16.8,15.04,29.94,1,-2.33,0.16,0
ETU00870,L3,Médecine,10.98,17.78,17.32,19.32,39.45,0,1.54,1.27,1
ETU00871,L1,Gestion,16.04,17.33,19.2,20.0,7.45,1,2.67,8.36,0
ETU00872,L2,Droit,16.44,7.0,6.31,8.64,30.46,3,1.63,1.38,0
ETU00873,L1,Gestion,7.44,10.77,11.82,12.71,22.07,1,1.94,2.81,0
ETU00874,M1,Gestion,13.91,15.44,16.11,12.45,28.5,2,-2.99,2.63,0
ETU00875,M2,Médecine,18.47,9.38,7.48,5.91,18.7,4,-3.46,6.97,0
ETU00876,L1,Gestion,11.23,14.29,15.26,16.26,8.5,1,1.98,4.11,0
ETU00877,M1,Médecine,6.66,8.32,6.4,6.15,1.83,4,-2.17,8.41,0
ETU00878,L3,Droit,18.0,9.53,10.67,10.13,33.53,1,0.6,7.47,0
ETU00879,M1,Ingénierie,17.49,17.05,16.49,15.13,32.59,3,-1.92,5.31,0
ETU00880,L3,Informatique,12.79,8.51,8.72,10.44,6.5,0,1.93,2.49,0
ETU00881,M2,Ingénierie,13.18,18.5,16.76,17.74,25.81,1,-0.76,7.92,0
ETU00882,L1,Informatique,8.75,9.29,9.67,10.72,29.51,4,1.44,8.66,0
ETU00883,L1,Droit,16.65,5.33,6.92,6.27,22.3,2,0.94,8.36,0
ETU00884,L2,Gestion,12.48,8.57,7.56,8.12,12.69,2,-0.45,0.52,0
ETU00885,M1,Médecine,6.44,7.4,6.69,4.98,35.24,2,-2.42,6.98,1
ETU00886,L1,Informatique,14.88,12.1,12.98,13.08,25.7,1,0.99,7.04,0
ETU00887,L1,Gestion,18.36,6.58,7.5,4.01,28.81,4,-2.57,9.43,0
ETU00888,M1,Gestion,16.78,13.76,10.31,8.26,26.08,1,-5.5,2.63,0
ETU00889,L3,Ingénierie,9.6,17.25,20.0,20.0,28.85,0,2.75,7.86,0
ETU00890,M1,Droit,6.69,10.08,11.07,14.93,5.8,4,4.86,6.89,0
ETU00891,L2,Informatique,18.22,7.36,8.6,6.2,36.9,0,-1.16,8.79,0
ETU00892,L1,Médecine,18.18,10.6,10.59,9.02,11.43,4,-1.58,6.93,0
ETU00893,L3,Gestion,12.92,16.0,13.42,14.05,33.46,1,-1.96,8.52,1
ETU00894,L1,Gestion,14.35,13.28,14.49,17.45,35.74,0,4.17,3.6,0
ETU00895,L3,Droit,12.01,6.42,5.77,6.37,26.05,1,-0.04,1.58,0
ETU00896,M2,Médecine,11.46,12.52,13.54,14.89,23.93,3,2.37,3.63,0
ETU00897,L1,Ingénierie,7.55,11.55,11.42,11.22,4.36,2,-0.33,8.15,0
ETU00898,L2,Informatique,7.26,9.58,10.14,9.67,17.45,0,0.09,1.32,0
ETU00899,M2,Ingénierie,9.03,6.54,5.58,6.0,24.47,1,-0.54,6.38,0
ETU00900,L2,Ingénierie,16.88,18.74,20.0,19.54,3.27,1,0.81,9.88,0
ETU00901,L2,Gestion,7.9,7.46,5.88,7.27,4.46,3,-0.2,8.95,0
ETU00902,M1,Droit,8.95,7.7,11.27,9.16,39.74,4,1.46,6.71,1
ETU00903,L1,Gestion,13.13,7.04,10.6,12.23,13.29,1,5.19,7.93,0
ETU00904,L1,Droit,8.8,12.98,15.63,15.99,13.99,4,3.01,1.16,0
ETU00905,M2,Médecine,8.12,11.21,13.32,13.3,10.06,2,2.09,4.99,0
ETU00906,M2,Médecine,13.32,8.49,8.57,6.4,25.84,0,-2.09,5.32,0
ETU00907,M2,Droit,10.79,11.01,12.96,11.79,18.92,1,0.78,7.83,0
ETU00908,L1,Droit,14.14,14.43,14.49,16.58,31.62,4,2.15,2.83,0
ETU00909,L3,Droit,17.86,8.94,6.81,6.8,20.5,4,-2.14,1.06,0
ETU00910,M2,Droit,7.96,17.81,20.0,20.0,0.62,3,2.19,6.98,0
ETU00911,M2,Informatique,17.87,9.29,11.18,10.16,19.31,1,0.87,4.93,0
ETU00912,L2,Gestion,17.73,7.77,7.93,8.18,2.21,3,0.41,8.42,0
ETU00913,L3,Médecine,16.78,18.36,16.73,14.97,33.07,3,-3.4,4.81,0
ETU00914,L1,Ingénierie,14.21,16.35,15.67,16.12,4.55,3,-0.23,8.46,0
ETU00915,L1,Ingénierie,14.06,9.8,7.27,8.13,8.68,2,-1.68,5.08,0
ETU00916,L2,Ingénierie,14.31,16.78,18.4,19.18,18.4,2,2.4,7.83,0
ETU00917,L2,Médecine,14.98,12.26,10.06,9.0,7.81,4,-3.26,7.21,0
ETU00918,M2,Droit,6.21,9.85,10.48,10.27,21.57,4,0.42,2.66,0
ETU00919,L1,Médecine,18.46,16.75,15.69,16.79,18.43,2,0.04,3.09,0
ETU00920,L3,Ingénierie,13.61,15.53,13.59,13.57,38.1,1,-1.96,8.99,1
ETU00921,L3,Gestion,16.16,9.17,9.73,9.6,3.53,2,0.43,2.31,0
ETU00922,L1,Informatique,10.9,13.49,13.19,16.35,23.07,2,2.85,6.98,0
ETU00923,L3,Gestion,6.16,10.17,11.63,10.5,28.82,3,0.33,1.45,0
ETU00924,M2,Droit,12.63,5.01,3.31,5.23,5.11,1,0.22,7.55,0
ETU00925,L1,Médecine,12.59,18.47,17.53,16.1,25.46,0,-2.37,2.23,0
ETU00926,L1,Droit,11.68,12.69,9.31,10.6,34.57,4,-2.1,5.94,0
ETU00927,L1,Ingénierie,10.42,13.38,10.3,11.66,31.5,4,-1.71,5.64,0
ETU00928,L1,Gestion,9.25,13.4,16.3,15.83,37.41,0,2.43,2.04,0
ETU00929,M2,Droit,12.86,12.71,16.03,14.51,28.82,1,1.8,4.91,0
ETU00930,L1,Ingénierie,10.88,9.06,9.4,6.74,15.76,2,-2.32,8.79,0
ETU00931,L2,Informatique,18.61,18.6,17.57,16.94,36.82,3,-1.66,6.81,0
ETU00932,M2,Ingénierie,8.25,13.7,13.46,14.55,9.01,3,0.84,9.93,0
ETU00933,M2,Informatique,10.16,14.39,15.9,14.59,23.35,1,0.19,7.85,0
ETU00934,L1,Ingénierie,9.82,11.37,10.8,11.24,30.63,1,-0.13,6.43,1
ETU00935,L2,Gestion,13.06,9.03,9.59,7.67,34.89,2,-1.36,5.63,0
ETU00936,L1,Médecine,12.49,5.9,6.08,6.03,36.66,1,0.13,9.37,1
ETU00937,L1,Médecine,14.37,9.9,9.25,7.83,3.4,2,-2.07,5.27,0
ETU00938,M2,Gestion,18.35,7.47,6.88,7.06,29.04,1,-0.41,4.03,0
ETU00939,L2,Droit,9.71,14.27,14.91,14.46,8.16,0,0.19,8.34,0
ETU00940,M1,Médecine,15.01,17.31,16.04,14.56,31.16,3,-2.75,9.4,0
ETU00941,L1,Ingénierie,6.33,9.24,10.12,9.43,28.03,3,0.19,4.79,1
ETU00942,L2,Informatique,9.41,9.66,9.15,8.05,7.25,1,-1.61,1.37,0
ETU00943,L2,Droit,12.03,14.39,14.78,13.11,33.31,2,-1.28,6.08,0
ETU00944,L3,Ingénierie,6.4,7.09,9.37,11.29,18.47,2,4.2,7.41,0
ETU00945,M2,Droit,14.03,18.01,17.96,17.72,21.75,0,-0.29,3.74,0
ETU00946,L2,Informatique,14.82,10.09,11.67,8.67,38.86,2,-1.42,7.48,0
ETU00947,M1,Informatique,15.71,6.42,3.93,3.29,26.27,2,-3.12,5.31,0
ETU00948,L3,Ingénierie,12.72,7.45,6.94,8.61,23.54,4,1.17,3.01,0
ETU00949,M1,Droit,13.85,18.06,18.3,17.46,0.67,1,-0.6,6.3,0
ETU00950,L2,Médecine,11.15,8.46,11.54,14.09,7.97,3,5.63,3.89,0
ETU00951,L3,Ingénierie,6.54,14.27,11.53,10.55,1.06,1,-3.72,7.87,0
ETU00952,M1,Informatique,7.3,7.19,7.24,8.3,13.33,0,1.11,0.03,0
ETU00953,L3,Droit,14.51,7.72,10.1,11.96,13.78,1,4.24,8.18,0
ETU00954,M1,Informatique,18.94,17.31,16.33,17.31,21.21,4,-0.0,3.07,0
ETU00955,L1,Ingénierie,6.21,7.07,6.95,5.19,27.59,1,-1.88,9.6,1
ETU00956,L2,Droit,13.25,5.26,5.96,4.85,7.17,4,-0.42,7.59,0
ETU00957,L1,Ingénierie,15.76,12.02,12.49,14.55,24.07,3,2.53,2.41,0
ETU00958,L1,Gestion,16.75,17.08,19.63,18.72,36.68,3,1.64,9.79,0
ETU00959,L1,Informatique,13.09,9.56,10.44,12.2,7.4,3,2.64,5.0,0
ETU00960,L2,Ingénierie,14.06,6.79,8.99,8.64,26.36,2,1.85,5.23,0
ETU00961,L2,Médecine,15.06,18.75,18.41,18.92,1.82,3,0.17,9.1,0
ETU00962,M1,Informatique,17.17,14.47,13.56,11.78,21.25,0,-2.69,9.18,0
ETU00963,L3,Médecine,7.59,16.91,16.77,16.16,29.66,3,-0.75,6.97,0
ETU00964,M1,Droit,18.04,15.53,13.99,12.98,1.36,3,-2.55,9.78,0
ETU00965,M2,Informatique,6.34,14.78,15.7,16.34,13.35,0,1.56,3.29,0
ETU00966,M1,Gestion,16.87,10.38,10.01,10.44,35.12,2,0.06,2.32,0
ETU00967,L3,Médecine,7.0,9.54,8.73,9.73,9.02,2,0.19,0.29,0
ETU00968,M2,Informatique,8.53,15.04,15.99,15.55,28.91,1,0.51,3.46,0
ETU00969,L2,Gestion,6.05,15.03,13.52,12.42,24.49,0,-2.61,6.03,0
ETU00970,M2,Gestion,11.79,18.31,19.66,20.0,6.55,0,1.69,3.05,0
ETU00971,L1,Médecine,10.35,12.96,12.44,11.2,29.67,1,-1.76,5.8,0
ETU00972,M2,Ingénierie,8.16,9.12,11.06,12.98,21.28,1,3.86,0.48,0
ETU00973,L2,Médecine,11.86,11.85,11.46,11.59,4.48,1,-0.26,3.54,0
ETU00974,M1,Médecine,11.23,13.59,14.74,14.55,37.97,3,0.96,7.48,0
ETU00975,L2,Informatique,15.98,10.97,11.44,12.44,19.68,2,1.46,1.04,0
ETU00976,L2,Ingénierie,17.61,16.08,17.39,17.58,29.8,0,1.5,7.15,0
ETU00977,L2,Informatique,14.48,13.18,13.55,11.36,8.71,0,-1.82,7.63,0
ETU00978,M1,Droit,7.62,5.13,2.84,1.54,5.49,3,-3.59,5.69,0
ETU00979,L1,Ingénierie,9.84,12.98,14.69,16.58,29.65,4,3.6,8.86,0
ETU00980,L1,Gestion,17.87,13.87,13.94,14.36,26.95,4,0.49,9.55,0
ETU00981,M2,Gestion,7.15,17.81,19.2,16.98,10.96,3,-0.84,0.35,0
ETU00982,L1,Informatique,11.29,10.79,12.03,12.86,29.85,1,2.06,6.79,0
ETU00983,M1,Gestion,18.25,13.04,12.08,11.54,20.2,3,-1.5,2.37,0
ETU00984,L2,Droit,18.36,11.65,10.48,9.47,13.94,0,-2.18,4.08,0
ETU00985,L2,Droit,11.35,12.44,13.63,12.21,31.48,0,-0.23,6.23,0
ETU00986,L2,Informatique,14.68,5.94,5.69,7.49,24.67,0,1.55,7.12,0
ETU00987,L2,Gestion,11.94,17.56,19.17,16.52,20.29,0,-1.04,8.4,0
ETU00988,M1,Informatique,15.79,17.75,17.68,16.72,30.92,1,-1.02,7.05,0
ETU00989,M2,Gestion,6.41,12.67,14.41,14.89,21.79,0,2.22,7.77,0
ETU00990,L2,Médecine,7.87,12.79,13.63,16.29,37.54,4,3.5,5.99,0
ETU00991,L1,Informatique,13.98,5.81,6.44,7.57,32.72,3,1.76,1.17,0
ETU00992,L1,Informatique,9.02,13.37,13.01,12.04,14.33,3,-1.33,0.21,0
ETU00993,M1,Droit,14.66,11.01,11.56,14.15,18.6,0,3.14,5.3,0
ETU00994,M2,Droit,10.57,14.93,16.92,15.18,38.29,4,0.26,7.16,1
ETU00995,L1,Ingénierie,17.53,5.66,5.78,6.48,35.81,0,0.82,1.09,0
ETU00996,L3,Droit,16.65,14.95,15.95,16.98,7.65,4,2.03,4.29,0
ETU00997,L2,Ingénierie,12.41,9.02,9.29,8.26,10.97,3,-0.75,2.56,0
ETU00998,L2,Médecine,16.05,14.12,14.51,15.86,14.58,1,1.73,5.67,0
ETU00999,M2,Droit,9.52,13.78,16.56,16.09,35.19,0,2.31,3.91,0
ETU01000,L2,Gestion,12.43,8.18,10.18,11.52,37.1,3,3.35,2.01,1
ETU01001,L2,Informatique,8.57,11.17,11.49,9.03,32.09,4,-2.14,0.04,0
ETU01002,L1,Médecine,17.19,16.7,17.22,18.02,11.03,2,1.32,3.22,0
ETU01003,M2,Ingénierie,16.7,13.48,12.63,12.31,35.48,0,-1.17,5.16,0
ETU01004,M2,Gestion,17.73,5.96,5.9,7.93,1.32,2,1.97,9.29,0
ETU01005,M2,Gestion,17.41,11.2,11.86,12.1,16.91,2,0.9,2.27,0
ETU01006,L2,Informatique,18.47,9.36,10.84,13.01,15.11,1,3.65,5.12,0
ETU01007,L1,Droit,8.97,13.98,15.31,16.37,21.41,4,2.39,5.66,0
ETU01008,M2,Gestion,18.11,13.6,12.14,12.25,22.43,1,-1.36,6.49,0
ETU01009,M1,Informatique,13.43,5.15,6.81,8.29,9.02,1,3.15,3.29,0
ETU01010,L2,Informatique,11.49,13.51,13.57,15.07,8.18,3,1.56,0.99,0
ETU01011,L1,Gestion,13.28,15.29,14.01,15.02,32.14,3,-0.27,9.21,0
ETU01012,M1,Droit,10.45,15.76,17.97,14.83,3.05,3,-0.93,9.53,0
ETU01013,M2,Droit,9.75,5.83,8.22,7.05,19.73,2,1.22,4.38,0
ETU01014,L1,Médecine,9.14,9.25,9.85,12.22,7.67,1,2.97,5.81,0
ETU01015,L3,Droit,7.07,10.9,12.16,10.58,12.78,1,-0.32,0.29,0
ETU01016,L3,Médecine,12.46,7.52,8.87,10.49,11.09,0,2.97,0.47,0
ETU01017,L3,Gestion,17.54,10.89,13.18,14.54,28.34,0,3.65,0.77,0
ETU01018,L2,Gestion,14.19,6.0,7.29,6.5,18.24,2,0.5,7.39,0
ETU01019,L2,Droit,12.77,6.59,4.79,2.1,11.98,2,-4.48,2.27,0
ETU01020,L2,Informatique,11.57,14.36,17.58,17.02,33.25,3,2.66,1.84,0
ETU01021,M2,Médecine,12.04,8.68,10.47,13.89,3.43,4,5.22,0.08,0
ETU01022,M2,Informatique,8.72,14.96,14.4,13.4,30.65,2,-1.56,0.23,1
ETU01023,L1,Ingénierie,16.7,5.67,4.33,3.44,9.93,0,-2.24,4.05,0
ETU01024,M1,Ingénierie,8.58,12.88,13.84,12.64,36.72,0,-0.24,5.42,1
ETU01025,L3,Droit,15.32,10.48,10.26,12.39,0.22,1,1.9,5.79,0
ETU01026,L2,Gestion,15.88,16.16,16.85,16.79,22.27,1,0.63,4.58,0
ETU01027,L1,Gestion,13.47,15.98,17.29,16.65,24.89,0,0.68,4.6,0
ETU01028,M1,Droit,17.22,10.26,9.61,12.03,23.09,3,1.77,7.53,0
ETU01029,L2,Droit,9.78,13.72,12.24,13.41,32.6,1,-0.3,2.9,0
ETU01030,L1,Informatique,17.46,8.19,8.96,7.89,4.49,3,-0.3,2.38,0
ETU01031,M2,Informatique,15.48,13.13,12.53,10.99,16.62,1,-2.14,8.54,0
ETU01032,M2,Médecine,16.38,6.14,6.56,8.59,34.55,0,2.46,6.89,0
ETU01033,L3,Informatique,14.64,11.08,9.27,9.59,35.55,0,-1.49,4.77,0
ETU01034,L3,Droit,17.0,7.56,7.38,5.36,19.93,2,-2.2,2.75,0
