etudiant_id,niveau,filiere,moy_semestre_prec,note_cc1,note_cc2,note_cc3,taux_absence_actuel,pente_evolution,nb_matieres_sous_10,ratio_notes_obtenues,moyenne_finale
ETU00734,L2,Droit,14.35,5.06,5.45,7.11,16.68,2.05,3,0.754,9.51
ETU00735,L1,Médecine,12.42,16.25,17.97,20.0,28.1,3.75,3,0.735,12.4
ETU00736,L2,Médecine,9.34,17.95,15.36,16.34,7.49,-1.61,5,0.654,12.24
ETU00737,L1,Informatique,14.45,7.13,6.42,7.7,26.53,0.57,1,0.724,9.72
ETU00738,M2,Ingénierie,17.68,5.3,4.72,3.7,27.77,-1.6,1,0.555,12.4
ETU00739,M2,Droit,6.5,11.71,12.29,14.79,20.34,3.08,3,0.842,9.92
ETU00740,L2,Médecine,10.88,17.16,18.19,17.92,11.04,0.76,2,0.785,12.72
ETU00741,M2,Informatique,18.16,15.32,15.51,17.56,32.78,2.24,1,0.55,13.93
ETU00742,L2,Gestion,10.98,5.49,3.71,4.92,12.74,-0.56,3,0.551,8.08
ETU00743,L2,Ingénierie,6.47,14.43,15.24,16.48,1.75,2.06,5,0.646,11.15
ETU00744,L3,Droit,7.32,16.45,16.84,18.03,4.76,1.58,5,0.737,11.33
ETU00745,M2,Informatique,14.98,8.79,6.79,7.93,31.21,-0.86,0,0.611,10.46
ETU00746,M1,Droit,15.1,14.15,13.9,14.63,5.25,0.48,4,0.566,12.37
ETU00747,M1,Ingénierie,7.5,11.92,12.68,14.43,15.66,2.51,4,0.548,12.46
ETU00748,M1,Informatique,8.85,7.88,10.56,9.77,24.22,1.89,3,0.653,8.57
ETU00749,M2,Informatique,13.33,17.62,16.19,16.13,20.08,-1.49,2,0.815,11.63
ETU00750,M1,Droit,14.92,8.12,9.51,12.01,22.87,3.89,4,0.839,10.34
ETU00751,L3,Droit,8.04,16.77,15.35,15.91,12.21,-0.86,3,0.641,10.63
ETU00752,L2,Informatique,11.93,14.82,13.12,12.93,23.18,-1.89,0,0.72,13.94
ETU00753,L3,Informatique,13.31,8.09,6.48,8.33,0.32,0.23,0,0.814,10.64
ETU00754,L1,Droit,6.65,14.96,16.07,17.62,9.21,2.66,4,0.68,10.32
ETU00755,M1,Droit,8.91,5.36,5.76,4.11,4.33,-1.25,2,0.989,8.76
ETU00756,M2,Informatique,17.95,8.31,8.04,9.43,15.93,1.12,3,0.846,13.64
ETU00757,L1,Médecine,17.44,9.0,9.88,10.39,5.1,1.39,4,0.789,13.82
ETU00758,M2,Gestion,10.19,17.45,17.71,19.08,19.16,1.63,1,0.749,12.99
ETU00759,M1,Ingénierie,17.28,17.82,18.18,18.5,6.32,0.68,5,0.746,14.52
ETU00760,M2,Ingénierie,14.22,8.79,8.54,9.54,14.5,0.74,1,0.646,10.35
ETU00761,M1,Médecine,18.76,11.65,10.3,7.86,2.6,-3.79,2,0.539,11.62
ETU00762,M2,Informatique,18.56,18.74,20.0,20.0,15.4,1.26,1,0.919,16.63
ETU00763,M1,Informatique,14.02,14.32,16.62,18.03,28.28,3.71,4,0.953,12.89
ETU00764,L2,Gestion,12.08,5.98,8.56,12.79,11.09,6.82,0,0.987,10.3
ETU00765,L3,Droit,7.85,10.48,9.87,10.72,24.72,0.24,2,0.702,9.01
ETU00766,L1,Gestion,12.89,10.9,10.08,9.34,14.91,-1.56,1,0.973,10.16
ETU00767,M2,Médecine,11.18,9.29,8.87,9.37,8.2,0.08,4,0.851,9.61
ETU00768,M1,Droit,14.39,12.28,14.09,13.05,10.62,0.77,0,0.711,12.42
ETU00769,L3,Gestion,7.16,15.3,15.5,17.68,10.59,2.37,3,0.959,10.93
ETU00770,M1,Ingénierie,16.85,14.68,14.07,14.44,25.98,-0.24,4,0.984,14.16
ETU00771,M1,Ingénierie,18.57,9.92,10.67,12.55,7.03,2.63,4,0.767,12.37
ETU00772,L2,Médecine,8.72,15.31,14.41,14.48,34.22,-0.83,3,0.89,10.75
ETU00773,M1,Gestion,14.23,12.48,10.64,12.66,24.06,0.18,3,0.888,12.19
ETU00774,M1,Ingénierie,16.43,15.77,16.17,14.03,14.04,-1.74,0,0.804,14.89
ETU00775,M1,Médecine,13.21,6.59,6.02,6.36,34.93,-0.24,3,0.711,9.24
ETU00776,M2,Informatique,18.16,10.67,10.85,11.96,7.57,1.29,4,0.567,14.19
ETU00777,L2,Informatique,12.65,10.53,6.7,6.6,26.7,-3.93,1,0.999,9.08
ETU00778,L1,Gestion,9.52,9.93,8.79,9.63,9.48,-0.3,1,0.536,10.07
ETU00779,M2,Médecine,12.13,14.77,14.9,15.72,19.02,0.95,1,0.567,13.84
ETU00780,L2,Ingénierie,12.34,12.8,10.73,12.6,1.9,-0.2,2,0.687,11.23
ETU00781,L2,Informatique,9.3,10.4,8.38,9.61,29.63,-0.79,0,0.699,8.33
ETU00782,L2,Informatique,16.23,12.51,12.77,13.66,12.82,1.15,5,0.634,14.13
ETU00783,M1,Médecine,14.03,14.86,16.11,17.73,20.46,2.87,3,0.539,12.95
ETU00784,L2,Droit,10.81,14.45,13.31,11.58,32.45,-2.87,4,0.95,9.52
ETU00785,L1,Informatique,11.48,15.65,15.46,14.63,1.06,-1.02,5,0.757,12.92
ETU00786,M1,Droit,10.83,16.92,16.76,14.98,33.88,-1.94,3,0.985,11.06
ETU00787,L3,Informatique,11.82,15.35,13.21,14.33,18.38,-1.02,4,0.939,13.23
ETU00788,M1,Ingénierie,12.87,7.52,9.5,10.42,27.33,2.9,3,0.747,9.81
ETU00789,L2,Ingénierie,10.3,16.85,16.78,19.16,16.56,2.3,4,0.694,11.58
ETU00790,L2,Droit,16.64,9.65,9.59,10.42,28.56,0.77,0,0.628,12.23
ETU00791,L3,Ingénierie,18.07,14.32,15.08,14.44,30.82,0.11,4,0.997,14.71
ETU00792,M2,Ingénierie,12.8,18.87,16.73,17.23,13.36,-1.64,2,0.803,13.98
ETU00793,M1,Informatique,15.25,9.12,10.7,8.19,25.29,-0.93,2,0.92,11.98
ETU00794,L3,Droit,18.1,8.78,10.56,10.25,34.95,1.46,1,0.992,11.97
ETU00795,L1,Gestion,8.5,7.55,7.96,4.74,26.5,-2.81,2,0.612,8.78
ETU00796,L3,Gestion,8.47,18.78,19.67,20.0,33.49,1.22,2,0.962,10.03
ETU00797,L1,Médecine,6.94,10.98,10.69,10.57,25.78,-0.41,2,0.897,7.43
ETU00798,M1,Informatique,11.75,15.97,17.47,17.57,11.55,1.6,5,0.727,13.05
ETU00799,L3,Ingénierie,10.3,5.69,4.65,3.56,28.95,-2.13,3,0.974,6.48
ETU00800,M2,Droit,13.29,7.53,7.68,6.97,23.32,-0.55,4,0.795,9.4
ETU00801,M2,Ingénierie,11.86,5.88,6.13,7.46,1.16,1.58,5,0.697,8.4
ETU00802,L2,Informatique,8.47,16.42,16.56,14.71,6.04,-1.71,3,0.58,11.07
ETU00803,L1,Médecine,11.09,6.49,8.3,9.35,9.14,2.86,2,0.864,10.39
ETU00804,L3,Gestion,6.38,17.92,20.0,20.0,26.02,2.08,4,0.887,10.59
ETU00805,L1,Médecine,12.99,14.29,14.33,12.11,27.9,-2.19,0,0.603,10.82
ETU00806,M1,Droit,9.52,17.73,18.64,20.0,28.94,2.27,4,0.686,11.74
ETU00807,M2,Droit,7.46,10.72,9.72,12.01,2.35,1.29,0,0.528,10.86
ETU00808,M2,Droit,6.86,12.36,14.11,13.6,2.53,1.24,2,0.779,11.38
ETU00809,M1,Droit,15.29,5.39,4.81,4.29,10.48,-1.1,1,0.8,9.64
ETU00810,M1,Droit,9.22,11.52,16.44,16.36,23.84,4.84,5,0.924,11.57
ETU00811,L2,Ingénierie,14.56,13.27,10.96,10.05,29.48,-3.22,3,0.513,11.45
ETU00812,M2,Ingénierie,16.6,6.41,9.83,9.18,30.43,2.77,3,0.56,13.14
ETU00813,M1,Droit,12.5,18.74,20.0,20.0,7.26,1.26,3,0.516,14.71
ETU00814,L1,Informatique,7.73,5.06,3.58,6.99,26.86,1.93,4,0.972,6.45
ETU00815,L3,Informatique,13.99,8.74,12.42,12.19,22.43,3.45,0,0.756,13.83
ETU00816,L3,Ingénierie,6.93,13.62,12.43,14.26,32.44,0.64,0,0.623,8.2
ETU00817,L1,Informatique,16.62,11.97,11.7,12.52,27.05,0.56,5,0.51,13.13
ETU00818,L2,Médecine,15.9,8.35,6.6,4.4,18.5,-3.95,3,0.548,12.17
ETU00819,M2,Médecine,11.23,18.81,18.79,19.06,27.41,0.24,4,0.86,13.77
ETU00820,L3,Ingénierie,9.5,7.64,7.77,7.84,10.79,0.2,2,0.74,7.93
ETU00821,L1,Gestion,15.22,12.96,14.4,16.9,27.52,3.94,5,0.867,12.34
ETU00822,M2,Médecine,13.37,6.62,10.48,13.04,27.34,6.42,0,0.633,9.61
ETU00823,L2,Droit,7.89,5.79,5.22,6.08,29.93,0.3,2,0.72,8.64
ETU00824,L3,Gestion,15.87,11.83,7.9,10.02,8.48,-1.81,3,0.812,10.83
ETU00825,L1,Médecine,10.34,16.27,17.44,17.52,29.72,1.25,2,0.606,12.91
ETU00826,L1,Médecine,17.62,12.44,11.81,13.79,5.92,1.35,5,0.644,12.36
ETU00827,M2,Droit,16.78,9.11,12.04,12.49,27.02,3.38,0,0.571,16.05
ETU00828,M1,Ingénierie,9.59,5.23,5.38,7.33,32.55,2.09,4,0.856,5.97
ETU00829,M1,Médecine,9.32,18.17,17.23,19.33,1.25,1.16,5,0.791,12.76
ETU00830,L1,Médecine,11.17,7.97,6.65,8.02,21.91,0.06,0,0.722,10.71
ETU00831,M1,Médecine,16.46,13.04,14.18,13.37,23.09,0.32,3,0.784,12.59
ETU00832,L1,Ingénierie,7.7,5.22,5.0,4.67,28.53,-0.54,0,0.585,7.31
ETU00833,L1,Médecine,10.11,6.36,8.76,10.19,3.6,3.83,3,0.906,9.39
ETU00834,M1,Informatique,14.57,7.38,7.27,8.91,31.83,1.52,2,0.878,10.93
ETU00835,L3,Ingénierie,6.44,6.57,8.89,9.43,34.78,2.86,4,0.591,8.38
ETU00836,M2,Ingénierie,6.73,12.43,10.56,10.39,23.52,-2.04,1,0.943,7.93
ETU00837,L2,Médecine,15.91,10.56,8.15,8.74,15.05,-1.82,2,0.697,13.59
ETU00838,L2,Ingénierie,12.79,16.22,17.66,17.54,22.23,1.33,0,0.732,13.88
ETU00839,M2,Gestion,13.25,6.63,6.13,6.02,1.91,-0.61,4,0.766,12.32
ETU00840,L3,Ingénierie,9.24,11.03,10.84,14.08,26.36,3.04,0,0.896,9.09
ETU00841,M2,Informatique,12.91,11.0,9.68,9.26,2.45,-1.73,4,0.582,10.33
ETU00842,L3,Médecine,13.09,8.23,6.8,7.86,11.29,-0.37,2,0.633,9.98
ETU00843,L1,Droit,11.38,6.34,7.5,8.03,4.88,1.68,5,0.968,8.1
ETU00844,L1,Ingénierie,18.54,5.15,5.32,3.78,25.41,-1.37,0,0.969,12.26
ETU00845,L2,Droit,6.64,5.26,3.87,2.28,20.8,-2.98,3,0.904,5.59
ETU00846,L3,Médecine,11.39,10.58,11.97,12.14,24.47,1.56,1,0.584,9.37
ETU00847,M1,Gestion,17.15,5.76,7.72,5.09,2.26,-0.67,0,0.797,10.84
ETU00848,L1,Droit,8.68,10.52,10.56,13.61,12.96,3.08,5,0.723,8.76
ETU00849,L2,Gestion,18.15,11.12,12.83,12.59,14.22,1.46,5,0.54,14.98
ETU00850,M2,Ingénierie,11.53,11.24,9.93,9.57,21.08,-1.67,5,0.538,10.55
ETU00851,L2,Droit,8.04,7.68,8.75,10.88,3.58,3.2,1,0.928,9.02
ETU00852,M1,Gestion,7.21,11.98,12.42,12.51,22.65,0.53,4,0.545,8.63
ETU00853,L2,Informatique,10.25,10.49,9.51,10.78,13.81,0.29,2,0.636,9.7
ETU00854,L2,Ingénierie,17.96,18.85,20.0,20.0,31.71,1.15,1,0.575,18.3
ETU00855,M1,Médecine,18.21,5.64,6.18,6.55,15.74,0.92,2,0.788,11.53
ETU00856,L2,Droit,13.32,5.75,5.07,6.82,3.57,1.07,1,0.88,11.14
ETU00857,M1,Gestion,7.54,16.54,16.77,15.78,3.62,-0.76,3,0.633,10.83
ETU00858,L1,Gestion,11.94,8.72,7.62,8.71,8.9,-0.01,3,0.891,12.09
ETU00859,M1,Médecine,11.43,7.57,6.04,2.71,8.39,-4.86,1,0.587,7.19
ETU00860,M2,Droit,9.0,17.24,16.77,18.97,27.88,1.72,4,0.678,12.63
ETU00861,M2,Droit,6.99,12.46,12.09,11.55,25.28,-0.91,3,0.621,7.86
ETU00862,M2,Médecine,10.96,13.62,12.61,12.79,2.68,-0.83,3,0.727,14.13
ETU00863,L1,Ingénierie,10.83,5.11,7.19,7.34,29.8,2.23,0,0.991,9.48
ETU00864,M2,Informatique,15.15,8.65,7.7,6.54,3.36,-2.11,4,0.868,9.1
ETU00865,M1,Médecine,11.12,8.63,7.43,6.15,27.5,-2.48,2,0.603,7.63
ETU00866,L3,Médecine,6.17,15.65,14.07,15.16,3.91,-0.5,2,0.983,11.03
ETU00867,M2,Droit,6.26,10.4,8.67,9.83,13.17,-0.57,0,0.841,8.96
ETU00868,M2,Gestion,14.94,13.08,14.83,13.8,26.28,0.71,5,0.727,13.43
ETU00869,M2,Droit,14.59,18.05,18.63,19.75,8.88,1.7,3,0.958,15.24
ETU00870,L3,Médecine,8.08,18.79,20.0,20.0,3.97,1.21,4,0.881,12.28
ETU00871,M1,Gestion,17.26,6.78,8.51,8.24,27.55,1.46,3,0.865,12.96
ETU00872,L2,Informatique,14.61,12.78,12.48,10.84,24.18,-1.94,0,0.6,11.09
ETU00873,M1,Informatique,8.0,14.79,17.2,17.44,31.19,2.65,4,0.564,10.84
ETU00874,L3,Informatique,9.74,15.95,15.21,16.06,22.45,0.11,2,0.933,10.72
ETU00875,M1,Ingénierie,18.66,17.88,16.44,16.65,2.59,-1.23,3,0.84,15.28
ETU00876,L3,Informatique,11.3,15.2,15.96,15.37,22.35,0.17,3,0.909,11.44
ETU00877,L1,Médecine,9.08,14.66,15.08,16.08,28.79,1.42,4,0.883,9.91
ETU00878,L2,Informatique,12.81,5.76,6.17,8.37,2.93,2.61,1,0.952,10.99
ETU00879,L2,Droit,8.67,12.63,14.35,13.5,4.75,0.87,5,0.688,8.84
ETU00880,L2,Médecine,16.29,13.38,13.74,13.6,23.71,0.21,2,0.675,13.93
ETU00881,L1,Informatique,16.33,14.75,15.42,19.84,27.7,5.08,4,0.618,13.83
ETU00882,L2,Droit,16.41,13.17,15.41,16.14,12.36,2.98,3,0.553,14.42
ETU00883,L3,Droit,14.02,10.73,11.33,9.73,25.73,-1.0,3,0.741,10.99
ETU00884,L3,Médecine,15.02,11.82,12.77,12.35,5.86,0.53,3,0.749,12.32
ETU00885,M1,Droit,10.18,18.54,16.62,15.78,15.54,-2.76,3,0.557,13.53
ETU00886,L1,Médecine,17.43,9.61,15.39,16.26,26.18,6.65,5,0.802,13.64
ETU00887,L1,Droit,7.87,15.98,13.8,14.56,6.96,-1.42,1,0.682,11.62
ETU00888,L1,Gestion,9.31,13.5,12.9,12.24,12.21,-1.26,1,0.728,11.4
ETU00889,M1,Droit,18.9,11.21,10.56,13.64,22.02,2.43,5,0.755,13.55
ETU00890,M1,Ingénierie,18.49,10.8,14.16,14.59,12.11,3.79,5,0.655,13.06
ETU00891,L3,Droit,12.6,12.52,11.82,11.44,30.6,-1.08,2,0.843,9.92
ETU00892,L3,Médecine,12.49,16.2,17.06,15.53,33.49,-0.67,1,0.755,14.03
ETU00893,M1,Médecine,7.52,6.71,6.07,5.02,22.48,-1.69,4,0.721,7.37
ETU00894,L2,Informatique,14.58,17.75,16.39,14.82,27.38,-2.93,5,0.705,13.37
ETU00895,M1,Informatique,6.4,15.84,16.89,16.91,31.73,1.07,5,0.512,9.28
ETU00896,M2,Droit,10.09,9.89,9.01,7.98,24.57,-1.91,1,0.886,11.13
ETU00897,L2,Informatique,11.44,5.14,5.65,7.13,27.07,1.99,1,0.983,7.66
ETU00898,L3,Droit,17.62,6.47,7.61,7.04,2.81,0.56,3,0.565,12.37
ETU00899,L2,Droit,18.59,7.02,10.08,11.64,28.83,4.62,1,0.645,13.71
ETU00900,L2,Droit,18.66,6.45,4.76,5.79,9.61,-0.66,5,0.923,10.18
ETU00901,L2,Médecine,16.38,6.44,6.41,7.68,2.48,1.24,2,0.854,10.81
ETU00902,L2,Gestion,9.77,18.44,18.47,20.0,20.63,1.56,1,0.656,12.3
ETU00903,L2,Informatique,6.59,14.22,14.42,17.71,7.94,3.49,5,0.825,11.54
ETU00904,L2,Droit,11.53,16.49,20.0,19.57,2.79,3.08,5,0.959,13.35
ETU00905,M2,Ingénierie,9.87,12.88,12.82,14.39,21.33,1.51,5,0.61,8.88
ETU00906,L2,Gestion,14.52,13.67,10.09,10.99,3.45,-2.68,3,0.84,10.48
ETU00907,L1,Médecine,10.82,17.33,17.24,19.13,31.05,1.8,4,0.906,11.51
ETU00908,M2,Droit,17.58,8.67,8.69,9.16,33.92,0.49,2,0.548,10.17
ETU00909,M2,Informatique,10.86,14.72,14.56,16.63,25.84,1.9,0,0.967,12.83
ETU00910,M2,Droit,10.91,17.59,16.71,15.07,10.07,-2.52,3,0.98,13.35
ETU00911,L1,Droit,15.87,18.11,16.33,15.12,19.69,-2.99,0,0.867,14.35
ETU00912,L3,Médecine,13.67,11.22,14.66,14.1,1.1,2.89,1,0.758,12.8
ETU00913,L2,Médecine,9.32,16.99,17.67,17.86,21.75,0.87,1,0.802,12.95
ETU00914,L2,Informatique,14.8,12.05,11.97,12.34,9.23,0.28,3,0.824,13.48
ETU00915,M2,Informatique,13.32,8.61,12.0,11.19,15.93,2.58,4,0.577,10.16
ETU00916,L1,Informatique,7.35,8.51,7.41,6.22,6.26,-2.29,1,0.647,6.84
ETU00917,M1,Médecine,12.07,11.32,12.43,11.75,34.53,0.42,4,0.55,11.43
ETU00918,M1,Droit,17.94,8.61,6.94,4.67,7.26,-3.94,4,0.685,12.09
ETU00919,L1,Gestion,8.75,5.42,6.75,6.61,14.59,1.19,3,0.873,8.61
ETU00920,M2,Droit,11.39,6.48,4.98,5.19,8.91,-1.29,3,0.943,7.68
ETU00921,L2,Informatique,9.59,16.89,17.79,18.76,18.96,1.87,2,0.686,11.46
ETU00922,L3,Droit,12.98,17.36,20.0,20.0,31.69,2.64,0,0.808,14.6
ETU00923,L3,Informatique,18.68,17.22,17.56,20.0,5.72,2.78,0,0.797,16.1
ETU00924,M2,Médecine,10.03,12.75,9.66,11.18,4.93,-1.57,0,0.736,8.68
ETU00925,M2,Informatique,16.83,18.09,18.35,19.75,2.59,1.66,2,0.847,15.41
ETU00926,L2,Gestion,16.9,11.99,12.91,13.76,20.63,1.77,3,0.575,13.3
ETU00927,L3,Ingénierie,9.37,11.48,13.03,14.13,21.07,2.66,0,0.537,12.64
ETU00928,M1,Médecine,16.04,11.64,14.05,14.02,28.75,2.38,0,0.674,12.28
ETU00929,L3,Ingénierie,18.85,8.56,11.04,11.49,29.26,2.94,4,0.985,13.13
ETU00930,L1,Droit,18.4,13.59,13.59,16.77,3.57,3.19,3,0.977,17.86
ETU00931,M1,Médecine,13.87,11.29,10.5,10.69,31.87,-0.59,5,0.817,9.62
ETU00932,L3,Droit,7.97,18.65,17.17,15.47,29.03,-3.18,5,0.789,11.43
ETU00933,L1,Médecine,7.55,7.41,6.8,8.14,22.65,0.74,5,0.817,6.56
ETU00934,M1,Droit,9.47,6.07,6.99,8.6,12.15,2.53,0,0.715,9.35
ETU00935,M2,Informatique,13.82,9.92,8.09,8.62,26.1,-1.29,2,0.644,13.32
ETU00936,M1,Médecine,11.02,8.02,6.83,4.31,21.72,-3.71,2,0.503,9.38
ETU00937,L3,Informatique,15.09,18.89,19.93,20.0,12.36,1.11,4,0.51,15.53
ETU00938,M1,Médecine,16.24,12.82,12.05,12.7,0.46,-0.12,5,0.986,12.37
ETU00939,L2,Informatique,8.35,10.04,10.79,10.63,20.74,0.59,4,0.872,8.74
ETU00940,L1,Ingénierie,17.77,14.0,12.98,15.06,20.18,1.06,5,0.845,13.49
ETU00941,L3,Droit,6.79,11.34,11.98,9.24,5.41,-2.11,0,0.922,7.23
ETU00942,L2,Droit,9.44,7.92,6.97,7.43,31.72,-0.49,0,0.803,5.61
ETU00943,L3,Ingénierie,16.59,10.52,7.87,7.36,5.57,-3.16,2,0.834,11.09
ETU00944,M1,Ingénierie,8.39,9.01,10.64,13.18,10.05,4.17,4,0.895,9.63
ETU00945,M2,Gestion,8.86,13.93,13.08,13.75,13.02,-0.18,1,0.563,11.99
ETU00946,L3,Ingénierie,18.68,16.43,16.26,15.26,23.9,-1.17,1,0.594,14.37
ETU00947,M1,Droit,17.86,8.68,7.84,9.85,2.86,1.17,1,0.778,13.32
ETU00948,M2,Gestion,16.57,13.7,14.72,11.33,24.58,-2.37,4,0.548,11.07
ETU00949,M2,Ingénierie,8.26,14.92,15.62,16.68,14.51,1.76,4,0.83,10.11
ETU00950,M1,Ingénierie,9.32,10.18,11.19,9.6,6.4,-0.58,2,0.916,6.85
ETU00951,M2,Ingénierie,9.06,11.83,11.2,10.81,3.92,-1.02,0,0.919,12.87
ETU00952,L3,Droit,8.46,10.02,10.15,10.09,14.43,0.06,1,0.662,9.43
ETU00953,M1,Droit,18.62,10.22,11.05,12.71,15.61,2.49,1,0.601,14.22
ETU00954,L3,Ingénierie,8.16,11.25,13.76,17.37,4.81,6.12,2,0.979,11.76
ETU00955,M1,Informatique,15.71,9.14,9.8,7.43,16.89,-1.71,2,0.956,14.57
ETU00956,M1,Ingénierie,6.66,11.84,10.53,11.5,17.59,-0.34,1,0.657,8.23
ETU00957,L1,Ingénierie,13.07,15.53,16.13,19.74,34.34,4.21,5,0.947,11.9
ETU00958,L1,Droit,6.92,10.52,10.47,9.91,24.97,-0.61,2,0.941,10.61
ETU00959,M2,Informatique,6.8,18.24,15.44,14.79,0.43,-3.45,1,0.669,9.42
ETU00960,L2,Gestion,8.99,8.05,5.48,6.14,16.69,-1.91,2,0.682,9.46
ETU00961,L1,Informatique,18.03,11.29,11.39,12.94,0.76,1.64,4,0.966,14.1
ETU00962,L1,Médecine,14.3,13.42,13.65,14.94,17.89,1.51,5,0.871,13.32
ETU00963,L1,Gestion,14.47,12.61,12.36,12.13,11.83,-0.48,2,0.809,10.8
ETU00964,L2,Gestion,9.87,18.26,19.78,18.88,31.62,0.62,3,0.976,15.5
ETU00965,M1,Droit,15.41,9.54,8.34,10.61,17.27,1.07,1,0.932,11.42
ETU00966,M2,Médecine,14.86,10.29,8.41,7.55,29.75,-2.74,4,0.537,9.75
ETU00967,L1,Informatique,12.0,13.34,12.3,9.73,20.44,-3.61,4,0.749,11.37
ETU00968,L3,Droit,14.87,13.35,12.63,10.75,13.88,-2.59,1,0.948,11.75
ETU00969,M1,Informatique,17.27,16.02,16.14,15.57,8.04,-0.45,3,0.556,15.54
ETU00970,M2,Droit,18.48,16.12,15.13,17.67,6.41,1.54,5,0.536,14.22
ETU00971,M2,Gestion,18.96,5.15,2.14,0.66,27.81,-4.5,1,0.93,10.43
ETU00972,M2,Gestion,12.35,15.7,12.04,14.63,30.9,-1.07,2,0.889,10.94
ETU00973,M1,Informatique,6.43,15.05,15.43,17.7,11.34,2.64,4,0.584,9.62
ETU00974,M2,Médecine,8.98,13.2,11.71,12.35,17.31,-0.86,0,0.591,9.04
ETU00975,M1,Gestion,8.56,9.44,6.63,3.11,10.06,-6.33,3,0.916,8.6
ETU00976,M1,Médecine,9.91,17.7,18.84,17.36,15.94,-0.34,3,0.605,12.03
ETU00977,M2,Médecine,10.69,15.34,17.85,17.2,30.43,1.87,3,0.572,11.83
ETU00978,L1,Médecine,14.69,8.6,8.66,11.56,4.83,2.95,1,0.954,12.61
ETU00979,L1,Informatique,12.83,9.27,9.88,9.32,10.2,0.05,4,0.903,12.13
ETU00980,L2,Ingénierie,14.45,14.95,15.56,14.7,24.33,-0.24,1,0.702,12.08
ETU00981,M2,Médecine,18.63,17.85,14.58,15.16,10.87,-2.69,3,0.813,15.63
ETU00982,M1,Médecine,6.64,11.87,13.4,11.59,2.84,-0.28,1,0.715,8.46
ETU00983,L3,Médecine,6.19,17.31,19.37,19.63,13.1,2.32,5,0.637,11.05
ETU00984,L2,Droit,14.65,10.35,13.3,12.41,23.67,2.06,2,0.993,13.55
ETU00985,L1,Médecine,13.1,10.53,10.08,14.41,34.44,3.88,2,0.773,8.47
ETU00986,L2,Gestion,12.28,14.6,13.1,12.02,31.23,-2.58,1,0.819,10.16
ETU00987,M2,Gestion,17.09,5.71,7.95,11.14,19.67,5.43,3,0.704,11.93
ETU00988,M2,Gestion,8.07,6.94,7.89,6.48,27.21,-0.46,4,0.75,7.82
ETU00989,M2,Gestion,13.46,15.2,16.71,17.4,20.0,2.21,3,0.644,14.89
ETU00990,M1,Droit,18.12,8.39,7.62,8.67,17.29,0.28,1,0.715,10.47
ETU00991,L3,Médecine,11.8,7.45,8.06,8.57,5.97,1.12,0,0.814,11.93
ETU00992,L1,Gestion,13.54,6.25,4.87,5.29,10.23,-0.96,0,0.906,10.42
ETU00993,L3,Gestion,6.91,8.15,8.34,9.93,15.82,1.78,5,0.901,7.62
ETU00994,M1,Médecine,10.54,8.51,8.18,9.11,34.5,0.6,0,0.506,7.26
ETU00995,L3,Médecine,6.54,9.78,13.49,13.53,21.3,3.76,1,0.767,8.5
ETU00996,M1,Gestion,13.44,18.14,19.16,18.45,33.07,0.31,2,0.687,14.97
ETU00997,L3,Informatique,13.68,14.02,11.0,11.05,9.05,-2.98,1,0.804,12.09
ETU00998,M2,Gestion,18.36,14.71,14.9,14.94,2.41,0.23,0,0.941,15.28
ETU00999,L1,Informatique,14.3,6.86,7.61,7.61,34.24,0.76,1,0.888,8.95
ETU01000,M1,Médecine,6.04,7.7,7.19,7.6,11.54,-0.1,0,0.665,8.26
ETU01001,L2,Médecine,16.83,17.58,16.13,14.31,18.74,-3.27,3,0.87,14.21
ETU01002,L1,Médecine,10.29,13.88,15.07,13.83,2.49,-0.05,1,0.551,11.53
ETU01003,L2,Gestion,15.29,16.34,15.09,16.64,30.11,0.31,1,0.564,13.63
ETU01004,M1,Gestion,9.43,10.0,11.07,7.99,0.02,-2.01,5,0.613,8.75
ETU01005,L1,Droit,15.88,13.08,11.71,13.81,31.71,0.73,5,0.7,11.62
ETU01006,M1,Médecine,18.06,12.03,11.43,10.89,5.79,-1.14,0,0.755,12.14
ETU01007,L2,Ingénierie,7.03,7.88,9.51,12.31,6.42,4.44,5,0.699,8.05
ETU01008,L3,Ingénierie,13.08,16.55,17.48,19.62,28.9,3.07,0,0.814,11.59
ETU01009,L1,Gestion,13.03,9.67,9.92,9.73,13.52,0.06,3,0.562,11.49
ETU01010,M1,Informatique,9.72,11.54,11.69,11.66,8.96,0.12,3,0.761,9.53
ETU01011,M2,Informatique,10.44,6.86,7.2,9.89,20.88,3.03,3,0.636,8.66
ETU01012,L3,Ingénierie,14.79,13.94,12.95,15.16,8.9,1.22,2,0.682,13.4
ETU01013,L2,Ingénierie,9.8,16.08,14.0,15.76,10.03,-0.32,4,0.754,10.6
ETU01014,M2,Droit,6.4,10.75,11.8,13.82,1.59,3.07,0,0.566,8.28
ETU01015,M2,Informatique,16.0,18.69,20.0,19.86,18.88,1.16,2,0.694,15.9
ETU01016,M2,Droit,14.13,8.61,9.71,10.32,4.53,1.71,5,0.88,13.8
ETU01017,M1,Médecine,9.26,17.22,17.8,16.95,29.3,-0.27,3,0.639,12.64
ETU01018,L2,Médecine,18.5,15.1,13.48,12.11,26.29,-2.98,4,0.882,15.48
ETU01019,L1,Médecine,17.68,17.98,19.5,20.0,9.99,2.02,0,0.615,15.09
